exp,dataset,type,metric,n,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,wilcox_p,t_p,sign_p,n_pos,n_neg,sd_OOB,sd_SB,sd_ratio,PM_p_two
exp1,vehicle,real,E1_B,100,0.003220801356418016,0.0032516275368843065,3.0826180466290016e-05,0.00024225153646300658,0.12724864789865792,0.23283071247871412,0.2061808398620422,0.6172994135892524,53,47,0.0002026435423700356,0.0001593276813860198,0.7862460334170471,0.017306489152234095
exp1,vehicle,real,E2_B,100,0.003829813045001554,0.0038608723257151085,3.105928071355505e-05,0.0003053451595293586,0.1017185953149807,0.3356825574357155,0.3115444045151784,0.48411841360729146,54,46,0.0002511139624082086,0.00019711810197541813,0.784974678767502,0.01693876596168109
exp1,waveform,synthetic,E1_B,100,0.022538384116332143,0.022512726614574586,-2.5657501757556136e-05,0.0005069139452070675,-0.05061510341183333,0.6229452589763704,0.6138759067386207,0.9204107626128221,51,49,0.0016546778522787203,0.0016506423758886936,0.9975611709648079,0.936595069353972
exp1,waveform,synthetic,E2_B,100,0.025041995689192152,0.02501731974933442,-2.4675939857737064e-05,0.0005590351488467598,-0.044140229659336,0.7206533187202941,0.6598843404813356,0.9204107626128221,51,49,0.0018427675542925358,0.0018370920918138393,0.9969201419541623,0.919212445139534
exp2,Boston,real,EB1,100,5.7001902645183895,5.699773669052033,-0.0004165954663562932,0.013068356752325129,-0.03187818286963832,0.6925422804041386,0.7505635478241096,0.19334790449564243,43,57,0.09178575838011083,0.08913020948306201,0.9710679636588997,0.04206212910327278
exp2,Boston,real,EB2,100,5.7001902645183895,5.699773669052033,-0.0004165954663562932,0.013068356752325129,-0.03187818286963832,0.6925422804041386,0.7505635478241096,0.19334790449564243,43,57,0.09178575838011083,0.08913020948306201,0.9710679636588997,0.04206212910327278
exp2,Ozone,real,EB1,100,8.327182748180725,8.33369159231736,0.006508844136635634,0.16326739328722484,0.03986616069250939,0.6425231921087418,0.6910011085719872,0.9204107626128221,51,49,0.9305080701287618,0.9493465137087571,1.0202453306798172,0.2511902908235859
exp2,Ozone,real,EB2,100,8.327182748180725,8.33369159231736,0.006508844136635634,0.16326739328722484,0.03986616069250939,0.6425231921087418,0.6910011085719872,0.9204107626128221,51,49,0.9305080701287618,0.9493465137087571,1.0202453306798172,0.2511902908235859
exp2,friedman1,synthetic,EB1,100,2.1125864002465264,2.114863747796134,0.0022773475496067606,0.010002672659424297,0.22767390547976135,0.03302646611305504,0.024954330477975958,0.08862608011406758,59,41,0.028671565929560685,0.02796851470884294,0.9754791481412289,0.4802162002079815
exp2,friedman1,synthetic,EB2,100,2.1125864002465264,2.114863747796134,0.0022773475496067606,0.010002672659424297,0.22767390547976135,0.03302646611305504,0.024954330477975958,0.08862608011406758,59,41,0.028671565929560685,0.02796851470884294,0.9754791481412289,0.4802162002079815
