dataset,type,metric,n_runs,mean_diff,sd_diff,wilcox_p,t_p,ci_lo,ci_hi,cohens_dz,n_pos,n_neg,n_zero,sign_p,OOB,SB_OOB,exp,seed
twonorm,class,eOB,50,0.00039999999999999926,0.016501082215591628,0.8866897393567406,0.8646084214659105,-0.004289555677947653,0.005089555677947652,0.024240834314615146,27,19,4,0.30199561318966095,0.09040000000000001,0.0908,exp4,1
twonorm,class,eTS,50,-0.0012840000000000013,0.0064208957350837224,0.2985011258424041,0.1636796324312275,-0.0031087983773767382,0.0005407983773767359,-0.19997209937302604,26,23,1,0.7754496546815692,0.081584,0.0803,exp4,1
twonorm,class,ratio,50,-0.16484175452372568,0.9829259423442638,0.34908373173011176,0.2413984436693386,-0.44418621652314255,0.1145027074756912,-0.16770516213111697,24,26,0,0.8877248273407867,1.4283167211611623,1.2634749666374365,exp4,1
friedman1,reg,absdiff,50,-0.015276432184934432,0.5233127198965398,0.8848694295751556,0.8373204410278988,-0.16400026162044876,0.13344739725057989,-0.029191784575682812,24,26,0,0.8877248273407867,1.250513323098055,1.2352368909131204,exp4,1
friedman1,reg,eOB,50,-0.02715951923944683,0.5079398611684649,0.6021737871802046,0.7069970312868008,-0.17151443056446217,0.1171953920855685,-0.0534699505114032,23,27,0,0.6718110337653662,8.422614592190698,8.39545507295125,exp4,1
friedman1,reg,eTS,50,-0.05385834210041944,0.2511226471387589,0.11785722795737388,0.1358098443363608,-0.1252266087610185,0.017509924560179607,-0.21447027065886168,19,31,0,0.11892045255943624,8.012045557486475,7.958187215386055,exp4,1
friedman1,reg,ratio,50,-0.012588484745484747,0.6099354358265745,1.0,0.8845674196019739,-0.18593021766281478,0.16075324817184528,-0.0206390447349973,24,26,0,0.8877248273407867,1.4012145648605607,1.388626080115076,exp4,1
friedman1,reg,mse_oob_outputs,50,0.033036753937285716,0.8189432536410576,0.7573938559469158,0.7766534468594029,-0.19970434357694483,0.2657778514515162,0.04034071199732443,25,25,0,1.0,10.853133741279471,10.886170495216756,exp5,1
friedman1,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,13.673206521660779,13.673206521660779,exp5,1
friedman2,reg,mse_oob_outputs,50,-404.40521735069285,1788.2852113084034,0.262807385002883,0.11623614160433206,-912.6302511340581,103.81981643267233,-0.22614134188069965,24,26,0,0.8877248273407867,27248.30244084895,26843.897223498258,exp5,1
friedman2,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,38010.09333358898,38010.09333358898,exp5,1
friedman3,reg,mse_oob_outputs,50,-0.00013123911306970972,0.003913401414381073,0.8167875854230882,0.8135414611301761,-0.0012434154893293527,0.000980937263189933,-0.03353581684399374,24,26,0,0.8877248273407867,0.040543164882633265,0.04041192576956355,exp5,1
friedman3,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,0.04394357351199658,0.04394357351199658,exp5,1
Boston,reg,mse_oob_outputs,50,-0.19045844348285912,4.833341393244279,0.5821569080322364,0.7816964728019864,-1.5640788689802334,1.1831619820145154,-0.039405129492625784,23,27,0,0.6718110337653662,19.917868814893822,19.727410371410965,exp5,1
Boston,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,20.235258823529414,20.235258823529414,exp5,1
Ozone,reg,mse_oob_outputs,50,78.48830474040588,964.5466520769604,0.5689873983539737,0.5676567001929652,-195.6328207588001,352.60943023961187,0.08137325921083946,27,23,0,0.6718110337653662,5754.709317854445,5833.19762259485,exp5,1
Ozone,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,8789.561853423671,8789.561853423671,exp5,1
waveform,synthetic,E1_B,50,-0.00029819097893498043,0.003445259674883949,0.5689873983539737,0.5433615962742764,-0.0012773229449032396,0.0006809409870332787,-0.0865510896344917,23,27,0,0.6718110337653662,0.023641553067607474,0.023343362088672496,exp1,2
waveform,synthetic,E2_B,50,-6.486069685751809e-05,0.0037472145008415276,0.8772529937158152,0.9030880603531195,-0.0011298072748646814,0.0010000858811496452,-0.01730904298191418,26,24,0,0.8877248273407867,0.026221494789575646,0.02615663409271813,exp1,2
twonorm,synthetic,E1_B,50,-0.0006101915326386719,0.00531526561587287,0.4064359098543248,0.4208568960707565,-0.0021207733067943155,0.0009003902415169718,-0.11479981937618872,25,25,0,1.0,0.00539157115289368,0.004781379620255008,exp1,2
twonorm,synthetic,E2_B,50,-0.0006101915326386719,0.00531526561587287,0.4064359098543248,0.4208568960707565,-0.0021207733067943155,0.0009003902415169718,-0.11479981937618872,25,25,0,1.0,0.00539157115289368,0.004781379620255008,exp1,2
threenorm,synthetic,E1_B,50,-0.00032263011785813365,0.005483458432887102,0.48703270055524284,0.6791971513239743,-0.001881011761726191,0.0012357515260099235,-0.05883697702952501,21,29,0,0.3222363203575473,0.006080604242233185,0.005757974124375052,exp1,2
threenorm,synthetic,E2_B,50,-0.00032263011785813365,0.005483458432887102,0.48703270055524284,0.6791971513239743,-0.001881011761726191,0.0012357515260099235,-0.05883697702952501,21,29,0,0.3222363203575473,0.006080604242233185,0.005757974124375052,exp1,2
ringnorm,synthetic,E1_B,50,0.0020884678431788346,0.008321467828981308,0.06808109767863851,0.08216802998112031,-0.0002764671469265314,0.004453402833284201,0.25097349242945993,30,20,0,0.20263875106454096,0.03670104632967945,0.03878951417285829,exp1,2
ringnorm,synthetic,E2_B,50,0.0020884678431788346,0.008321467828981308,0.06808109767863851,0.08216802998112031,-0.0002764671469265314,0.004453402833284201,0.25097349242945993,30,20,0,0.20263875106454096,0.03670104632967945,0.03878951417285829,exp1,2
breast-cancer,real,E1_B,50,-0.0009288710760313201,0.0021020331969783183,0.0020742084660506344,0.0029888663908563796,-0.0015262623007601945,-0.0003314798513024457,-0.4418917252908166,15,35,0,0.0066004479668109505,0.005432759464377771,0.004503888388346451,exp1,2
breast-cancer,real,E2_B,50,-0.0009288710760313201,0.0021020331969783183,0.0020742084660506344,0.0029888663908563796,-0.0015262623007601945,-0.0003314798513024457,-0.4418917252908166,15,35,0,0.0066004479668109505,0.005432759464377771,0.004503888388346451,exp1,2
